miRNA	SC	SC.p	SC.fdr	PC	PC.p	PC.fdr	DC
hsa-miR-8082-3p:Novel	0.0469	0.6173	0.918093454545455	0.0081	0.9314	0.979187948717949	0.1364
hsa-miR-8083-3p:Novel	-0.0522	0.5778	0.881791791044776	0.0581	0.5353	0.869589772727273	0.1424
hsa-miR-8085-3p:Novel	0.0334	0.7223	0.956851592356688	0.0243	0.7958	0.93178446866485	0.1209
hsa-miR-8086	-0.0087	0.9259	0.981495128205128	-0.0059	0.9498	0.984913417721519	0.1259
hsa-miR-922	-0.079	0.3994	0.77407037037037	-0.1426	0.1268	0.75457536231884	0.1746
hsa-miR-922-5p:Novel	-0.0197	0.834	0.972860683760684	0.0453	0.6294	0.899535275080906	0.1425
hsa-miR-92a-3p	-0.0125	0.8938	0.981495128205128	0.2166	0.0195	0.529655	0.225
hsa-miR-92b-5p	0.0992	0.2894	0.674617613636364	0.0643	0.4927	0.864694166666667	0.133
hsa-miR-935	0.1849	0.047	0.436886363636364	0.0759	0.4178	0.825865384615385	0.2106
hsa-miR-935-5p:Novel	-0.1036	0.2682	0.656834523809524	-0.0558	0.5521	0.869589772727273	0.155
hsa-miR-940	0.0381	0.6849	0.936869899665552	0.1076	0.2501	0.812772180451128	0.1729
hsa-miR-943-5p:Novel	0.1784	0.0553	0.460703773584906	0.1356	0.1468	0.784441025641026	0.1952
hsa-miR-944-5p:Novel	-0.0051	0.9569	0.983346984924623	0.0706	0.4516	0.855112962962963	0.149
hsa-miR-9898-5p:Novel	-0.0824	0.3792	0.760258823529412	-0.0867	0.3546	0.825865384615385	0.1491
hsa-miR-9899-5p:Novel	0.0043	0.9633	0.98569	0.0683	0.4664	0.862953153153153	0.1373
hsa-miR-9901	-0.0561	0.55	0.858277946768061	0.015	0.8728	0.948685751978892	0.168
hsa-miR-9901-3p:Novel	-0.1505	0.1068	0.552926582278481	-0.1429	0.1261	0.75457536231884	0.1785
