miRNA	SC	SC.p	SC.fdr	PC	PC.p	PC.fdr	DC
hsa-miR-4651-3p:Novel	0.0118	0.8641	0.970325059101655	0.0136	0.8436	0.930272621809745	0.0819
hsa-miR-4654	0.1252	0.0683	0.482464285714286	0.1101	0.109	0.701538461538462	0.1621
hsa-miR-4655-5p	-0.0012	0.9865	0.9987	-0.0181	0.7929	0.903636363636364	0.0917
hsa-miR-4666a-5p	-0.0382	0.5791	0.882099358974359	-0.0947	0.1687	0.70172268907563	0.1085
hsa-miR-4672	-0.1584	0.0207	0.418306451612903	-0.1865	0.0063	0.6175	0.2135
hsa-miR-4674	-0.1667	0.0149	0.418306451612903	-0.0592	0.39	0.776830708661417	0.1466
hsa-miR-4674-5p:Novel	-0.0942	0.1708	0.600962962962963	-0.1352	0.0488	0.701538461538462	0.1556
hsa-miR-4675	0.024	0.7276	0.92656836461126	0.1173	0.0877	0.701538461538462	0.1138
hsa-miR-4682-3p:Novel	0.0156	0.821	0.948389830508475	0.08	0.2448	0.7184375	0.1096
hsa-miR-4683	-0.0086	0.9012	0.979420045045045	-0.0352	0.6093	0.856264792899408	0.0959
hsa-miR-4690-5p	0.1162	0.0906	0.531296296296296	0.1157	0.0922	0.701538461538462	0.1631
hsa-miR-4693-3p	0.0011	0.9874	0.9987	-0.0735	0.2856	0.7184375	0.1153
hsa-miR-4695-5p	0.019	0.783	0.946857506361323	0.0102	0.8823	0.952482954545455	0.1022
hsa-miR-4698	0.0628	0.3617	0.783534090909091	-0.0139	0.8399	0.930272621809745	0.0803
hsa-miR-4700-5p	-0.1246	0.0696	0.482464285714286	0.126	0.0664	0.701538461538462	0.1392
hsa-miR-4701-3p	-0.0876	0.2029	0.626136363636364	-0.0625	0.3641	0.766756465517241	0.1256
hsa-miR-4710-3p:Novel	-0.1325	0.0535	0.462909090909091	-0.0483	0.4829	0.800033444816054	0.1319
hsa-miR-4713-3p	0.0382	0.5794	0.882099358974359	0.0261	0.7044	0.891751824817518	0.0851
hsa-miR-4725-5p	-0.0146	0.8326	0.952975903614458	0.0281	0.6829	0.890047297297297	0.1013
hsa-miR-4732-5p	-0.0799	0.2456	0.677011494252874	-0.0736	0.2851	0.7184375	0.1278
hsa-miR-4734	0.0609	0.3764	0.794622222222222	-0.0549	0.425	0.779655172413793	0.0995
hsa-miR-4738-3p	0.0356	0.6055	0.888075153374233	0.0402	0.5595	0.835731132075472	0.087
hsa-miR-4739	-0.1257	0.0671	0.482464285714286	0.0827	0.2294	0.7184375	0.1355
hsa-miR-4739-3p:Novel	-0.1269	0.0646	0.482464285714286	-0.0546	0.4276	0.779655172413793	0.1129
hsa-miR-4741	-0.0338	0.6233	0.892687125748503	-0.02	0.7716	0.891751824817518	0.0903
hsa-miR-4748	-0.1192	0.0826	0.511396103896104	-0.1102	0.1088	0.701538461538462	0.1652
hsa-miR-4751-3p:Novel	-0.1076	0.1174	0.540769230769231	-0.1309	0.0564	0.701538461538462	0.1662
hsa-miR-4754-3p:Novel	0.0703	0.307	0.725497512437811	-0.0451	0.5124	0.805927152317881	0.096
