miRNA	SC	SC.p	SC.fdr	PC	PC.p	PC.fdr	DC
hsa-miR-4695-5p	-0.1004	0.1489	0.969370567375887	-0.1134	0.1029	0.60525390625	0.1518
hsa-miR-4698	-0.0517	0.4582	0.969370567375887	-0.0424	0.5433	0.881100682593857	0.0907
hsa-miR-4700-5p	0.0175	0.8017	0.97922181372549	0.1428	0.0396	0.60525390625	0.1698
hsa-miR-4701-3p	-0.0062	0.9294	0.995847826086956	-0.0365	0.6003	0.899503154574132	0.1568
hsa-miR-4710-3p:Novel	-0.1	0.1508	0.969370567375887	-0.1017	0.1438	0.60525390625	0.1405
hsa-miR-4713-3p	0.0356	0.6096	0.97922181372549	-0.0522	0.4541	0.829605769230769	0.1035
hsa-miR-4725-5p	0.0853	0.2204	0.969370567375887	0.1282	0.0649	0.60525390625	0.1363
hsa-miR-4732-5p	-0.0564	0.4182	0.969370567375887	-0.0965	0.1654	0.609031007751938	0.1307
hsa-miR-4734	-0.0198	0.7764	0.97922181372549	0.0297	0.6698	0.916643258426966	0.0999
hsa-miR-4738-3p	0.0509	0.4655	0.969370567375887	0.1297	0.0619	0.60525390625	0.1466
hsa-miR-4739	0.0381	0.585	0.975	-0.0801	0.2499	0.679329608938548	0.1188
hsa-miR-4739-3p:Novel	-0.0047	0.9464	0.995847826086956	-0.0126	0.8566	0.968052256532067	0.1222
hsa-miR-4741	-0.014	0.8405	0.97922181372549	-0.11	0.1137	0.60525390625	0.1596
hsa-miR-4748	-0.0547	0.433	0.969370567375887	-0.0283	0.6844	0.916643258426966	0.1283
hsa-miR-4751-3p:Novel	-0.0847	0.2241	0.969370567375887	-0.0903	0.1947	0.638465517241379	0.133
hsa-miR-4754-3p:Novel	0.0818	0.2402	0.969370567375887	0.0481	0.4901	0.859271582733813	0.1114
hsa-miR-4758-5p	0.0171	0.8063	0.97922181372549	0.0152	0.8273	0.953565375302663	0.0981
hsa-miR-4767	-0.1224	0.0781	0.925170454545454	-0.0332	0.6336	0.910138888888889	0.1287
hsa-miR-4771-5p:Novel	-0.0074	0.9155	0.993162100456621	0.0177	0.7993	0.944944306930693	0.1554
hsa-miR-4784-3p:Novel	-0.1121	0.1069	0.969351851851852	-0.0543	0.4357	0.819655511811024	0.1337
hsa-miR-4785	-0.0554	0.4267	0.969370567375887	-0.0497	0.476	0.851071428571429	0.1372
