miRNA	SC	SC.p	SC.fdr	PC	PC.p	PC.fdr	DC
hsa-miR-4436b-5p	-0.1327	0.1451	0.826404109589041	-0.1388	0.1274	0.510849019607843	0.1984
hsa-miR-4437	0.2458	0.0064	0.5726	0.2375	0.0084	0.264276923076923	0.2837
hsa-miR-4441	0.0566	0.5357	0.913433333333333	0.0502	0.5831	0.863920216606498	0.1279
hsa-miR-4443-3p:Novel	0.1049	0.2503	0.849161904761905	0.1837	0.0428	0.369804166666667	0.2188
hsa-miR-4449	0.1381	0.1292	0.826404109589041	0.1975	0.0292	0.322778378378378	0.2214
hsa-miR-4451-5p:Novel	0.0202	0.8254	0.982551162790698	-0.0429	0.6387	0.90078724137931	0.1256
hsa-miR-4452	-0.0525	0.5655	0.923607462686567	0.1344	0.1398	0.536161818181818	0.1946
hsa-miR-4453-3p:Novel	0.0601	0.5105	0.913433333333333	0.1011	0.2678	0.730201333333333	0.1547
hsa-miR-4466-3p:Novel	-0.027	0.7679	0.966168404907976	0.0613	0.5025	0.811905098039216	0.146
hsa-miR-4472	0.0409	0.655	0.946625441696113	-0.0638	0.485	0.811758232931727	0.1524
hsa-miR-4487	-0.0094	0.9182	0.991420316622691	0.0437	0.6328	0.90078724137931	0.1185
hsa-miR-4488-3p:Novel	0.0902	0.323	0.855997419354839	0.1842	0.0422	0.369804166666667	0.1988
hsa-miR-4489	-0.0613	0.5023	0.913433333333333	-0.0253	0.7818	0.957304179104478	0.1343
hsa-miR-4489-3p:Novel	-0.0186	0.8389	0.986683615819209	0.0205	0.8226	0.969529226361032	0.1393
hsa-miR-4492-5p:Novel	0.064	0.484	0.913433333333333	0.1671	0.0658	0.389289156626506	0.1882
hsa-miR-4494	-0.0788	0.3883	0.877429281767956	-0.0504	0.5816	0.863920216606498	0.1289
hsa-miR-4497	0.0016	0.9863	0.995032843137255	0.0938	0.304	0.739830177514793	0.1608
hsa-miR-4497-3p:Novel	0.1184	0.1939	0.849161904761905	0.175	0.0538	0.389289156626506	0.1883
hsa-miR-4505	0.0384	0.6749	0.947783986928105	0.123	0.1771	0.598627272727273	0.1322
hsa-miR-4505-3p:Novel	0.2293	0.0111	0.5726	0.1752	0.0536	0.389289156626506	0.212
hsa-miR-4506	-0.0482	0.5979	0.923607462686567	-0.1623	0.0741	0.389289156626506	0.189
hsa-miR-4508-3p:Novel	0.2027	0.0251	0.5726	0.2923	0.0011	0.112475	0.2961
hsa-miR-4513-3p:Novel	0.09	0.3244	0.855997419354839	0.1109	0.224	0.679178832116788	0.211
hsa-miR-4516-3p:Novel	0.1033	0.2577	0.849161904761905	0.2243	0.013	0.281994736842105	0.2153
hsa-miR-4520-3p	0.0929	0.309	0.850558552631579	0.0998	0.2739	0.737007236842105	0.1536
hsa-miR-4527-3p:Novel	0.0121	0.8951	0.991420316622691	0.0119	0.8967	0.977368965517241	0.1374
hsa-miR-4528-5p:Novel	-0.0746	0.4141	0.905705347593583	-0.1498	0.0996	0.447652747252747	0.1649
hsa-miR-4534	0.049	0.5918	0.923607462686567	0.0911	0.3185	0.745655376344086	0.1336
hsa-miR-4537-3p:Novel	-0.0145	0.8739	0.98776301369863	0.0905	0.3213	0.745655376344086	0.137
hsa-miR-4632-5p	-0.0165	0.8569	0.987245352112676	-0.0762	0.4043	0.799050917431193	0.1923
hsa-miR-4634	0.0885	0.3325	0.857613836477987	0.156	0.0862	0.409951162790698	0.1869
hsa-miR-4651-3p:Novel	-0.0276	0.7625	0.966168404907976	0.0679	0.4572	0.811758232931727	0.157
hsa-miR-4654	0.0758	0.4067	0.899136756756757	0.1176	0.197	0.637653543307087	0.1689
hsa-miR-4655-5p	0.0612	0.5034	0.913433333333333	-5e-04	0.9958	0.9969	0.1517
hsa-miR-4666a-5p	0.0052	0.9543	0.995032843137255	-0.0943	0.3018	0.739830177514793	0.1416
hsa-miR-4674	0.0559	0.5411	0.913433333333333	0.08	0.3811	0.775472139303483	0.1578
hsa-miR-4674-5p:Novel	-0.0723	0.4288	0.909207	0.0779	0.3935	0.796740099009901	0.1365
hsa-miR-4675	-0.0438	0.6318	0.942782181818182	0.0885	0.3322	0.745655376344086	0.1577
hsa-miR-4682-3p:Novel	-0.0705	0.4403	0.909207	0.0523	0.5673	0.860697802197802	0.1493
hsa-miR-4683	0.0011	0.9906	0.995032843137255	0.0135	0.8824	0.97652884097035	0.1118
hsa-miR-4690-5p	0.0097	0.9159	0.991420316622691	-0.0023	0.9797	0.996372235872236	0.1133
hsa-miR-4693-3p	0.0213	0.8162	0.982551162790698	-0.0384	0.6744	0.922036893203883	0.1204
hsa-miR-4695-5p	0.1114	0.2218	0.849161904761905	0.1454	0.11	0.476162105263158	0.1598
hsa-miR-4698	-0.0546	0.5499	0.916592276422764	-0.0122	0.8939	0.977368965517241	0.125
hsa-miR-4700-5p	-0.1413	0.1205	0.826404109589041	0.0649	0.4779	0.811758232931727	0.1632
hsa-miR-4713-3p	-0.0513	0.5747	0.923607462686567	0.174	0.0553	0.389289156626506	0.2245
hsa-miR-4725-5p	-0.0023	0.9798	0.995032843137255	-0.0897	0.3256	0.745655376344086	0.134
hsa-miR-4738-3p	0.072	0.4304	0.909207	0.2109	0.0197	0.29758275862069	0.2099
hsa-miR-4739	0.1026	0.2606	0.849161904761905	0.1832	0.0434	0.369804166666667	0.222
hsa-miR-4739-3p:Novel	-0.0873	0.3391	0.863472670807453	0.1452	0.1106	0.476162105263158	0.1742
hsa-miR-4741	0.0396	0.6652	0.947783986928105	0.1174	0.198	0.637653543307087	0.165
hsa-miR-4754-3p:Novel	0.1093	0.2306	0.849161904761905	0.1323	0.1465	0.539806306306306	0.1778
hsa-miR-4758-5p	-0.0689	0.4505	0.91252009569378	-0.0746	0.4144	0.799050917431193	0.1622
hsa-miR-4767	0.0102	0.911	0.991420316622691	-0.0342	0.7084	0.925672843450479	0.1739
hsa-miR-4771-5p:Novel	-0.0171	0.852	0.986683615819209	0.0243	0.7907	0.962488988095238	0.1291
hsa-miR-4784-3p:Novel	0.1018	0.2648	0.849175524475524	-0.1338	0.1417	0.536161818181818	0.1952
hsa-miR-4785	-0.0201	0.8264	0.982551162790698	-0.001	0.9915	0.996372235872236	0.1365
hsa-miR-4787-5p	0.1124	0.2176	0.849161904761905	0.0657	0.4719	0.811758232931727	0.1813
hsa-miR-484-3p:Novel	0.0944	0.3011	0.85055306122449	0.1414	0.1202	0.494072	0.1718
hsa-miR-5001-5p	0.0791	0.3865	0.877429281767956	0.0745	0.4147	0.799050917431193	0.1413
hsa-miR-5006-5p	-0.1149	0.2077	0.849161904761905	-0.111	0.2235	0.679178832116788	0.1955
hsa-miR-501-3p	-0.0332	0.7166	0.949833009708738	-0.0086	0.9252	0.986109487179487	0.1376
hsa-miR-504-5p	-0.0212	0.8169	0.982551162790698	0.0023	0.9796	0.996372235872236	0.1386
hsa-miR-5090-3p:Novel	0.2093	0.0207	0.5726	0.1661	0.0674	0.389289156626506	0.2084
hsa-miR-5091	-0.0939	0.3037	0.85055306122449	-0.1445	0.1124	0.478870833333333	0.15
hsa-miR-5091-3p:Novel	-0.0238	0.7946	0.974274626865672	0.0625	0.4942	0.811758232931727	0.1422
hsa-miR-5092	-0.0359	0.6948	0.947783986928105	-0.0224	0.8067	0.967566862170088	0.1583
hsa-miR-5093	-0.1253	0.1689	0.84411686746988	-0.1277	0.1609	0.564909401709402	0.1898
hsa-miR-5100	-0.0236	0.7961	0.974274626865672	0.0847	0.3536	0.763753684210526	0.1424
hsa-miR-5189-3p	0.017	0.8523	0.986683615819209	-0.0147	0.8725	0.97652884097035	0.1252
hsa-miR-5191	0.133	0.1442	0.826404109589041	0.1429	0.1163	0.490378350515464	0.176
hsa-miR-5193	-0.0345	0.7056	0.947783986928105	-0.0136	0.8814	0.97652884097035	0.1349
hsa-miR-5193-5p:Novel	0.1263	0.1657	0.84411686746988	0.1083	0.2351	0.692063309352518	0.1699
hsa-miR-5196-5p	0.0346	0.7054	0.947783986928105	-0.097	0.2876	0.739830177514793	0.153
hsa-miR-548aa, hsa-miR-548t-3p	-0.0576	0.5286	0.913433333333333	-0.0216	0.8136	0.969529226361032	0.1365
hsa-miR-548d-5p	-0.0365	0.6894	0.947783986928105	-0.0027	0.9761	0.996372235872236	0.1266
hsa-miR-548i	-0.2156	0.0171	0.5726	-0.2492	0.0056	0.223090909090909	0.2655
hsa-miR-550a-3-5p	-0.0835	0.3604	0.86708	-0.1423	0.1179	0.492052040816327	0.1881
hsa-miR-550a-3p	-0.1131	0.2149	0.849161904761905	-0.1741	0.0552	0.389289156626506	0.2277
hsa-miR-550b-3p	-0.1071	0.2403	0.849161904761905	-0.134	0.1412	0.536161818181818	0.1669
hsa-miR-551a	-0.1146	0.2087	0.849161904761905	-0.0874	0.3386	0.745655376344086	0.1474
