ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	abstemious.x	light.x	heavy.x	abstemious.y	light.y	heavy.y
hsa-miR-4521-3p:Novel	1.79426962032659	-0.175866443358848	0.406687739372289	-0.432436059248534	0.66542451497727	NA	heavy_vs_light	NA	1.957	1.853	1.501	0.228	0	0
hsa-miR-4522	11.776815687046	-0.456804562395073	0.252827132665596	-1.80678615296907	0.0707956285517455	0.354935877311397	heavy_vs_light	FALSE	9.596	12.934	9.419	6.559	7.404	4.966
hsa-miR-4522-5p:Novel	3.7709036596641	0.0509563425472403	0.293393967719502	0.173678903296188	0.862117818258961	0.940871472558479	heavy_vs_light	FALSE	4.328	3.971	2.984	2.642	1.972	1.484
hsa-miR-4523	2.9318418107499	-0.239919656737325	0.251301750877842	-0.954707461843157	0.339725655327941	0.667861284130902	heavy_vs_light	FALSE	4.141	3.083	2.075	1.825	1.616	1.787
hsa-miR-4523-3p:Novel	10.7809886335062	0.0493183649210173	0.302498982090961	0.163036465710114	0.87048972329138	0.94600208482991	heavy_vs_light	FALSE	23.187	9.607	9.537	11.94	3.332	3.78
hsa-miR-4524a-3p	0.367113767115014	-0.796355527705252	0.462259979141695	-1.72274383169378	0.0849348601247333	NA	heavy_vs_light	NA	0.323	0.448	0.185	0	0	0
hsa-miR-4524a-5p	0.947977588431623	0.503074066066665	0.340683402694526	1.47666150475122	0.139766395962336	NA	heavy_vs_light	NA	0.98	0.849	1.077	0	0	0
hsa-miR-4524b-3p	0.720942840239842	-0.329321799581553	0.4244675785587	-0.775846769498348	0.437839465377585	NA	heavy_vs_light	NA	0.617	0.837	0.476	0	0	0
hsa-miR-4524b-5p	0.578079710756187	-0.259174567016186	0.46120433590433	-0.561951713892708	0.57414891817016	NA	heavy_vs_light	NA	1.114	0.575	0.396	0	0	0
hsa-miR-4525	0.907611324429452	-0.752926532451582	0.341942870649312	-2.20190738593806	0.027671851166857	NA	heavy_vs_light	NA	1.142	0.989	0.61	0	0.167	0
hsa-miR-4525-3p:Novel	13.0474913846988	-0.567039351157341	0.310503702594665	-1.82619191468245	0.0678213588148807	0.352346355014069	heavy_vs_light	FALSE	23.869	13.812	7.57	4.98	3.826	3.303
hsa-miR-4526	3.18626862497295	-0.091589823798938	0.257486378143759	-0.355707453183414	0.722059662808234	0.883343064741111	heavy_vs_light	FALSE	12.041	2.291	2.408	2.652	1.514	1.615
hsa-miR-4526-5p:Novel	1.2740325126663	0.239118366100096	0.258712890323767	0.924261507808331	0.355350178494255	NA	heavy_vs_light	NA	1.469	1.013	1.676	1.245	0.515	1.11
hsa-miR-4527	2.14306073265218	-0.844543665948636	0.274882065631643	-3.07238547559655	0.00212355301642468	NA	heavy_vs_light	NA	3.15	2.301	1.742	2.201	1.334	0.832
hsa-miR-4527-3p:Novel	14.7752870703599	-0.574895023790649	0.26817889800838	-2.14369970217673	0.0320569560878245	0.26773494806683	heavy_vs_light	FALSE	12.814	16.844	10.417	5.474	7.339	7.03
hsa-miR-4528	0.643283216992556	-0.300116403390247	0.389005022065342	-0.771497503545946	0.440412101567035	NA	heavy_vs_light	NA	0.466	0.677	0.577	0	0	0
hsa-miR-4528-5p:Novel	38.3380052113899	-0.0720871386942331	0.228318090956573	-0.315731173084941	0.752206563394396	0.897332411547088	heavy_vs_light	FALSE	46.762	32.265	46.395	18.115	10.815	15.941
hsa-miR-4529-3p	0.597149802332537	-0.249270678605633	0.427971428849105	-0.582447008848156	0.560265625287043	NA	heavy_vs_light	NA	1.174	0.502	0.596	0	0	0
hsa-miR-4529-5p	0.631433333211269	-0.442388032051099	0.422526265931226	-1.04700717498852	0.295096269007367	NA	heavy_vs_light	NA	0.564	0.734	0.445	0	0	0
hsa-miR-4530	9.12604418749785	0.308029012991128	0.2516820726041	1.22388142231991	0.220996962767987	0.552952178687169	heavy_vs_light	FALSE	14.451	6.87	11.96	6.309	4.204	3.947
hsa-miR-4530-5p:Novel	16.361262469332	0.43592610390411	0.34481278237057	1.26423997656682	0.206143906212286	0.537834684857394	heavy_vs_light	FALSE	14.672	10.332	28.488	4.33	2.663	3.49
hsa-miR-4531	1.93390354739723	-0.171266235265575	0.277761023991961	-0.616595636076472	0.537501473654929	NA	heavy_vs_light	NA	6.749	1.486	1.403	1.245	0.876	0.742
hsa-miR-4531-5p:Novel	1.78961643485029	0.134282689257898	0.405483513406717	0.331166828781043	0.740518474633798	NA	heavy_vs_light	NA	1.355	1.779	1.822	0	0.343	0.375
hsa-miR-4533	8.90711687438139	-0.194865523015553	0.226907591862909	-0.85878802650766	0.390457474651093	0.7001841791954	heavy_vs_light	FALSE	7.722	8.379	9.784	7.661	4.652	5.106
hsa-miR-4533-3p:Novel	7.59696131273158	-0.116161853870151	0.223180312115647	-0.520484323948603	0.602726051071689	0.826229328368789	heavy_vs_light	FALSE	11.66	7.072	7.321	3.144	5.042	4.071
hsa-miR-4534	36.6373762336937	-0.37120090427551	0.26255278306689	-1.41381439548839	0.157416405713906	0.483064751091882	heavy_vs_light	FALSE	79.886	32.52	31.756	11.731	14.669	15.189
hsa-miR-4534-5p:Novel	14.0021366468965	0.00981778676990022	0.235965770050856	0.041606826141708	0.966812131481641	0.984510980259463	heavy_vs_light	FALSE	9.133	12.686	17.136	7.262	7.985	7.088
hsa-miR-4535	3.61010442233477	-0.659336695854036	0.269321105506588	-2.44814343314771	0.0143594479532502	0.186362907249376	heavy_vs_light	FALSE	4.293	3.736	2.903	1.327	2.024	1.476
hsa-miR-4535-5p:Novel	2.9364623692413	0.188246670151949	0.261058571083948	0.721089789813547	0.470854272531173	0.748390955049893	heavy_vs_light	FALSE	4.573	2.351	3.497	0.456	0.585	1.133
hsa-miR-4536-3p	0.650830357359793	0.0748508163109669	0.405317430530008	0.184672088276809	0.853486239921153	NA	heavy_vs_light	NA	0.797	0.607	0.674	0	0	0
hsa-miR-4536-5p	0.494671734582362	-0.107156627253949	0.472928411562844	-0.226581073655181	0.820749510595745	NA	heavy_vs_light	NA	0.62	0.421	0.579	0.449	0	0
hsa-miR-4537	1.11581083674238	-0.0785654847696756	0.289094493155502	-0.271764030895655	0.785803463807041	NA	heavy_vs_light	NA	2.187	1.004	1.061	0.912	0.481	0.37
hsa-miR-4537-3p:Novel	14.9151490486991	-0.665377095866101	0.249803961924225	-2.66359704922508	0.00773101078716348	0.146807825895189	heavy_vs_light	FALSE	17.458	16.867	10.569	9.287	7.901	4.767
