ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	never.x	former.x	_16.x	16_.x	never.y	former.y	_16.y	16_.y
hsa-miR-4671-3p	0.632509339535997	0.395417817402629	0.634939708497479	0.622764354017715	0.533439385969211	NA	former_vs_never	NA	0.523	0.893	0.65	0.088	0	0	0	0
hsa-miR-4671-5p	3.17148715464569	0.0320307472490267	0.342124450849383	0.0936230870652619	0.925408569337934	0.978677008430749	former_vs_never	FALSE	3.757	2.88	1.919	1.684	1.037	1.161	0.396	0.588
hsa-miR-4672	14.264898294638	0.356287023281555	0.275500030789276	1.29323768952342	0.195928863992917	0.63707634040186	former_vs_never	FALSE	13.072	15.924	18.138	4.945	6.094	7.529	7.77	2.302
hsa-miR-4672-5p:Novel	2.61220467846282	0.260863850702285	0.283776427043413	0.919258352147682	0.35796045629245	0.749672497378108	former_vs_never	FALSE	2.256	2.389	4.454	2.344	1.425	1.295	0.735	1.579
hsa-miR-4673	1.4095454775205	-0.255379078704359	0.278421131895977	-0.917240286199874	0.359016740532571	NA	former_vs_never	NA	1.417	1.291	1.865	0.701	0.738	0.643	1.047	0
hsa-miR-4673-3p:Novel	6.91448678713955	0.137036858831635	0.201925774265134	0.678649663869566	0.497359867000138	0.833128249703997	former_vs_never	FALSE	6.316	7.249	7.363	7.913	4.534	5.579	5.799	4.394
hsa-miR-4674	75.8239621328295	-0.356409032324761	0.232931279698284	-1.53010378334081	0.125991041935926	0.538804623701006	former_vs_never	FALSE	88.633	58.765	55.531	80.873	42.744	31.241	27.507	33.69
hsa-miR-4674-5p:Novel	20.0063070581762	-0.0401800872309062	0.199972885711033	-0.200927676209902	0.840755126518116	0.947839185965974	former_vs_never	FALSE	20.928	18.458	20.224	15.533	12.853	12.308	13.869	13.531
hsa-miR-4675	37.4681883059651	-0.413281280089499	0.218540424052739	-1.89109763962828	0.0586113115587631	0.39088113117837	former_vs_never	FALSE	41.188	34.426	35.542	17.961	23.368	17.516	19.544	11.368
hsa-miR-4675-5p:Novel	3.49707444771975	-0.362655403309001	0.262492311649818	-1.38158485873219	0.167099205695632	0.602453814198123	former_vs_never	FALSE	4.122	2.921	1.916	3.733	2.282	1.451	1.224	1.932
hsa-miR-4676-3p	0.179326412460262	0.177362034122277	0.71483411008135	0.248116355418592	0.804044381418234	NA	former_vs_never	NA	0.167	0.173	0.259	0.107	0	0	0	0
hsa-miR-4676-5p	2.01893205345352	0.326272521365632	0.243371550406478	1.3406354227546	0.180038850504888	NA	former_vs_never	NA	1.985	1.852	2.392	1.951	0.999	1.004	1.16	1.228
hsa-miR-4677-3p	1.71618348638909	-0.630153403433393	0.308651662921006	-2.04163294462687	0.0411879548286914	NA	former_vs_never	NA	1.957	1.655	1.437	0.237	0.667	0.863	0.698	0
hsa-miR-4677-5p	0.436645828605091	-0.0618005607506141	0.510406449904581	-0.121081073254791	0.903626820224577	NA	former_vs_never	NA	0.511	0.257	0.344	0.82	0	0	0	0
hsa-miR-4678	0.387149559967898	-0.0937642484880096	0.467180099601295	-0.200702573949598	0.840931146949779	NA	former_vs_never	NA	0.379	0.375	0.532	0.137	0	0	0	0
