ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Averagea.drinker	Averagea.no_drinker	Mediana.drinker	Mediana.no_drinker
hsa-miR-4754	3.63868362673298	-0.193754933830523	0.576740462074243	-0.335948223805357	0.736909910886994	0.92460314783625	a.no_drinker_vs_a.drinker	FALSE	4.21284618118741	5.75104106075265	3.16147043107805	5.13655654212247
hsa-miR-4754-3p:Novel	23.3017931195771	-1.36986277392891	0.745735264106191	-1.83692905493851	0.0662203693777365	0.454248587988261	a.no_drinker_vs_a.drinker	FALSE	25.7996668628418	14.3079974896102	10.6779555280979	9.99197997081605
hsa-miR-4755-3p	4.03557459553075	-0.870164639681387	0.895424270528715	-0.971790321439005	0.331154871807973	0.739358103620574	a.no_drinker_vs_a.drinker	FALSE	4.5277137610005	2.29967844869214	1.84463411757561	1.32665842522031
hsa-miR-4755-5p	0.436311857494279	1.0871546710099	1.31273865780445	0.828157733107488	0.407581177185935	NA	a.no_drinker_vs_a.drinker	NA	0.4251531870168	1.20672184126271	0	0.440276275039069
hsa-miR-4756-3p	0.645614962082521	-1.66048139812489	1.38677047518274	-1.19737290910096	0.231161238028799	NA	a.no_drinker_vs_a.drinker	NA	0.686986174390496	0.0959649514747116	0	0
hsa-miR-4756-5p	0.673988653070129	-0.273990129164027	1.03309952478677	-0.265211746390627	0.790846346505292	NA	a.no_drinker_vs_a.drinker	NA	0.687012852590686	0.988305580555021	0	0.663329212610155
hsa-miR-4757-3p	1.86634741895331	1.0950870133529	0.690880509381104	1.58505993219275	0.112952718038582	NA	a.no_drinker_vs_a.drinker	NA	1.9237326369725	3.09928588679203	1.14939713431761	3.08193392527348
hsa-miR-4757-5p	1.85608766124809	-0.0135618037796753	1.01210562925874	-0.0133995932713149	0.989308991335568	NA	a.no_drinker_vs_a.drinker	NA	1.87013487520695	1.86037007445358	0.840414940255708	2.60695008180667
hsa-miR-4758-3p	0.27849753625653	-0.12530930123823	1.75260015981178	-0.0714990812574656	0.94300055573874	NA	a.no_drinker_vs_a.drinker	NA	0.26981478259008	0.436805518196295	0	0
hsa-miR-4758-5p	64.9993991512085	0.148098635678817	0.697081018118762	0.212455413114671	0.831751758912716	0.960713149550768	a.no_drinker_vs_a.drinker	FALSE	66.0821912834354	195.007718212861	17.5893561491013	81.3043521238813
