ID	Average_F	Average_M	Median_F	Median_M	log2FoldChange	pvalue	padj	comparison	treshold
hsa-miR-501-3p	58.6137852890225	60.0241488743956	53.6749884712224	50.2809342903542	0.070626367771781	0.460391210390202	0.761984723482602	M_vs_F	FALSE
hsa-miR-501-5p	1.19402608966958	0.742392299199891	0.227911194597391	0	-0.184317971432425	0.557480625942088	NA	M_vs_F	NA
hsa-miR-5010-3p	1.68789905685686	1.64166184986262	0.372095653728755	0	-0.0438795743507519	0.887177817939345	NA	M_vs_F	NA
hsa-miR-5010-5p	11.7472036973585	13.4261529160673	6.06611377662687	6.34048905371055	-0.0276776913807338	0.880853058329038	0.956207953792054	M_vs_F	FALSE
hsa-miR-5011-3p	2.84549191302627	2.67035795356681	0.881569917666296	0	-0.130103149967449	0.617497088008315	NA	M_vs_F	NA
hsa-miR-5011-5p	0.519373598232029	0.489989234847156	0	0	0.306416473795699	0.350739961834551	NA	M_vs_F	NA
hsa-miR-502-3p	2.05580736878341	1.34008392912345	0.99549421708205	0.41393829834574	-0.423777600523148	0.0744908392878438	NA	M_vs_F	NA
hsa-miR-502-5p	3.17433474037995	1.480875145232	0.397548710543478	0	-0.317006225722079	0.26126652002844	NA	M_vs_F	NA
hsa-miR-503-3p	1.78789844836579	1.35239277276941	0.705027657672868	0.58087061845292	0.0765241018968348	0.753333521732785	NA	M_vs_F	NA
hsa-miR-503-5p	4.43383870865246	3.22304458338172	2.0664114636067	1.80599058140352	-0.223689516584101	0.321054860881898	0.674401655387455	M_vs_F	FALSE
hsa-miR-504-3p	4.44494638686239	8.73981904638055	2.11273506216674	1.29456231529401	0.765689131180917	0.000869692366288508	0.0469914423720403	M_vs_F	TRUE
hsa-miR-504-5p	26.6444503502448	23.7275803978098	22.2114235384394	18.9828129111041	-0.115979518645766	0.38480102066756	0.725018795970938	M_vs_F	FALSE
hsa-miR-5047	3.24195982403506	5.42033097093673	1.08486821234437	1.16369857719329	0.178428564992264	0.492770424624817	0.791361899565262	M_vs_F	FALSE
hsa-miR-5047-5p:Novel	4.89389740910494	5.52279984719618	1.37438532326345	0.74791603577806	0.688561802942888	0.00899326480441088	0.13947887543878	M_vs_F	FALSE
hsa-miR-505-3p	2.36793707837063	2.15604736726122	0	0	-0.461488681775633	0.221975523127344	NA	M_vs_F	NA
hsa-miR-505-5p	13.7907097178653	11.5758438658948	2.78691402753063	0.817714331856686	-0.0774354700237754	0.761177460587585	0.91256044460878	M_vs_F	FALSE
hsa-miR-506-3p	0.469177405141544	0.335392232172993	0	0	-0.172953098350067	0.658573936478178	NA	M_vs_F	NA
hsa-miR-506-5p	1.17537951940827	0.764995569836106	0	0	-0.37513769170348	0.264630267411757	NA	M_vs_F	NA
hsa-miR-507	19.3528999410835	15.8370071685605	2.28331985479206	1.2471987724407	-0.743236396528691	0.0287643563175101	0.224094403868974	M_vs_F	FALSE
hsa-miR-507-5p:Novel	0.887222973414531	0.81884889054436	0	0	-0.0755262492760104	0.781005725514883	NA	M_vs_F	NA
hsa-miR-508-3p	1.84125735781332	1.26140961582925	0.651706492606642	0	-0.0300423870809582	0.886424280395336	NA	M_vs_F	NA
hsa-miR-508-5p	0.415673605512923	0.281408115472509	0	0	-0.454638305393209	0.312010973966027	NA	M_vs_F	NA
hsa-miR-5087	3.08014193184008	3.19085503154357	1.17244891140989	1.00411931710178	0.392945105288053	0.0955331821591015	NA	M_vs_F	NA
hsa-miR-5087-3p:Novel	2.92480365832496	2.81342948623643	1.69018804973339	1.48363414128688	0.0236764418290844	0.907466695198702	NA	M_vs_F	NA
hsa-miR-5088-3p	0.437554568441447	0.241591277838572	0	0	-0.29420015637651	0.476317523621245	NA	M_vs_F	NA
