miRNA	age	age.p	age.fdr	bmi	bmi.p	bmi.fdr
hsa-miR-3670	-0.093	0.218	0.626105949470253	-0.059	0.443	0.897718228867165
hsa-miR-3670-5p:Novel	-0.085	0.244	0.650420574886535	0.038	0.613	0.936682251082251
hsa-miR-3671	0.002	0.977	0.99334910559723	0.04	0.598	0.932686369651522
hsa-miR-3671-5p:Novel	0.005	0.949	0.98937492642731	-0.031	0.686	0.950245914396887
hsa-miR-3672	-0.195	0.012	0.28192	-0.034	0.661	0.944489068825911
hsa-miR-3672-3p:Novel	-0.146	0.05	0.40787037037037	0.015	0.845	0.978056881333769
hsa-miR-3674	0.08	0.284	0.67485906945381	-0.003	0.974	0.99586904078116
hsa-miR-3674-3p:Novel	-0.171	0.023	0.336315352697095	-0.102	0.188	0.818927070457355
hsa-miR-3675-3p	-0.137	0.071	0.441266086956522	-0.052	0.507	0.909532635774788
hsa-miR-3675-5p	-0.116	0.126	0.53356338028169	0.013	0.872	0.986900255754476
hsa-miR-3677-3p	-0.151	0.043	0.382656565656566	-0.094	0.219	0.837954397394137
hsa-miR-3677-5p	-0.094	0.185	0.598597260273973	-0.065	0.369	0.879212981744422
hsa-miR-3678-3p	0.04	0.587	0.851621243310004	-0.132	0.082	0.766880829015544
hsa-miR-3678-5p	-0.071	0.349	0.71997904540163	-0.145	0.06	0.733181208053691
hsa-miR-3679-3p	0.093	0.25	0.653076352853966	0.039	0.636	0.939047539616347
hsa-miR-3679-5p	-0.11	0.121	0.52319509202454	-0.038	0.596	0.932686369651522
hsa-miR-3680-3p	-0.011	0.87	0.961392285983067	-0.082	0.245	0.844389036251105
hsa-miR-3680-5p	-0.056	0.46	0.790365675280351	-0.008	0.916	0.994449784349969
hsa-miR-3681-3p	-0.077	0.355	0.723443358251869	0.024	0.776	0.967635734072022
hsa-miR-3681-5p	-0.1	0.182	0.594409638554217	-0.074	0.338	0.872848398576512
hsa-miR-3682-3p	0.027	0.7	0.898299636363636	-0.079	0.27	0.844389036251105
hsa-miR-3682-5p	-0.094	0.248	0.653076352853966	-0.122	0.143	0.808864429530201
hsa-miR-3683	-0.241	0.002	0.143836734693878	-0.165	0.034	0.63394708994709
hsa-miR-3683-3p:Novel	-0.054	0.448	0.781173676397823	-0.11	0.131	0.808864429530201
hsa-miR-3684	0.017	0.823	0.948063760572544	0.063	0.413	0.896943374197315
hsa-miR-3684-5p:Novel	0.044	0.545	0.831060147122458	-0.007	0.924	0.994515994020927
hsa-miR-3685	-0.092	0.218	0.626105949470253	-0.054	0.476	0.904292379471229
hsa-miR-3685-3p:Novel	-0.214	0.002	0.143836734693878	-0.104	0.145	0.808864429530201
hsa-miR-3686	-0.014	0.844	0.953287179487179	0.016	0.827	0.975121433311214
hsa-miR-3686-5p:Novel	0.055	0.444	0.778048731974142	-0.007	0.927	0.994515994020927
hsa-miR-3688-3p	-0.076	0.313	0.691543573667712	0.073	0.347	0.872848398576512
hsa-miR-3688-5p	-0.116	0.122	0.52558435207824	-0.023	0.768	0.967635734072022
hsa-miR-3689a-3p	-0.018	0.797	0.940913902847571	0.043	0.553	0.920100094428706
hsa-miR-3689a-5p, hsa-miR-3689b-5p, hsa-miR-3689e	-0.095	0.182	0.594409638554217	-0.041	0.577	0.927034234234234
hsa-miR-3689b-3p, hsa-miR-3689c	-0.156	0.026	0.343161048689139	-0.008	0.907	0.992013656114215
hsa-miR-3689c-5p:Novel	-0.016	0.831	0.948549983824005	0.037	0.639	0.939047539616347
hsa-miR-3689d	-0.05	0.469	0.796508915662651	-0.01	0.889	0.987427674929401
hsa-miR-3689d-3p:Novel	-0.066	0.339	0.71321552238806	-0.065	0.358	0.877324061196106
hsa-miR-3689e-3p:Novel	-0.083	0.272	0.666240997229917	-0.073	0.345	0.872848398576512
hsa-miR-3689f	-0.209	0.008	0.249486725663717	-0.209	0.01	0.533939393939394
hsa-miR-3689f-3p:Novel	-0.011	0.871	0.961894077091821	-0.062	0.391	0.894149253731343
