ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Average_inactive	Average_active	Median_inactive	Median_active
hsa-miR-375-5p	0.305786235538431	0.375194552671958	0.501551563406965	0.74806775623092	0.454419289527471	NA	active_vs_inactive	NA	0.264768275372769	0.403186354101232	0	0
hsa-miR-376a-2-5p	0.292550672939185	0.179414671665479	0.465856100305342	0.385128951940057	0.700141878770189	NA	active_vs_inactive	NA	0.330434191261666	0.294532081802685	0	0
hsa-miR-376a-3p	1.40711116347004	0.0335808548583238	0.263094882002427	0.127637811130108	0.898435606892577	NA	active_vs_inactive	NA	1.47193081279568	1.40001078297564	0.248177123607417	0.416138627052813
hsa-miR-376a-5p	0.168063047098223	0.282173979196507	0.687316513226462	0.410544448978683	0.681406604334517	NA	active_vs_inactive	NA	0.19316474761547	0.186539736366517	0	0
hsa-miR-376b-3p	0.555684319778488	-0.00124364201648893	0.527628259037212	-0.00235704209391336	0.998119354245472	NA	active_vs_inactive	NA	0.35875807832051	0.852164704727288	0	0
hsa-miR-376b-5p	0.26566924873163	0.177118438923092	0.467232310395726	0.379080031458185	0.7046284342224	NA	active_vs_inactive	NA	0.288017487346552	0.272846293092428	0	0
hsa-miR-376c-3p	0.0557570866942791	0.160596911992386	1.14926939586803	0.139738265518755	0.888866791499596	NA	active_vs_inactive	NA	0.0397275915543594	0.0818036901665203	0	0
hsa-miR-376c-5p	0.828350958067219	-0.129136505609932	0.269385933604279	-0.479373603076212	0.631672868935021	NA	active_vs_inactive	NA	0.917417357657646	0.778189753317692	0.253264575774564	0
hsa-miR-377-3p	0.0994845652303119	0.0630329671556835	1.09823650015604	0.0573947115641557	0.954230775620309	NA	active_vs_inactive	NA	0.102118447004955	0.112511648283022	0	0
hsa-miR-377-5p	0.0896502966244909	0.0502471734383987	0.979230254059662	0.0513129299570612	0.959076165062612	NA	active_vs_inactive	NA	0.0899337357970127	0.102058776594087	0	0
hsa-miR-378a-3p	114.268359566559	0.0834439520453067	0.260783384958098	0.319974188764802	0.748987897126279	0.97823724175769	active_vs_inactive	FALSE	216.110767019776	71.4463287541513	10.2775771970651	9.37673079549674
hsa-miR-378a-5p	0.484650892873009	-0.0909901498576117	0.487806508245098	-0.186529183845767	0.852029795036476	NA	active_vs_inactive	NA	0.742119549301522	0.371631168511738	0	0
hsa-miR-378b	6.31293949937004	0.264205856232751	0.246049497572932	1.07379148845625	0.282916145614288	NA	active_vs_inactive	NA	6.63246752724342	6.58099638101912	2.79050996883315	2.74889075452825
hsa-miR-378b-5p:Novel	12.8836878623221	-0.262579067618332	0.417520930198907	-0.628900370319733	0.52941428361128	0.898381664537956	active_vs_inactive	FALSE	14.4815166802864	11.3920118750621	0.917708663632256	1.25786779769642
hsa-miR-378c	15.9644507548006	-0.0416958390572652	0.232931446607916	-0.179004765841901	0.857933959537444	0.97823724175769	active_vs_inactive	FALSE	17.8332835828696	13.7021033026656	6.50253060726132	8.51047051003576
hsa-miR-378c-3p:Novel	6.68527521567668	0.0764266605678398	0.239864764316265	0.318623957902672	0.750011683839279	NA	active_vs_inactive	NA	9.42057558897358	5.52110207747956	1.53643803008176	2.01277458645326
hsa-miR-378d	7.9876471268756	-0.0948544995538501	0.238962261833989	-0.396943428748373	0.69140917792341	NA	active_vs_inactive	NA	7.71891159112118	9.32970483403096	3.07918853024525	2.76687142880886
hsa-miR-378d-1:Novel	1.66532334957032	-0.690992874928936	0.340103224435971	-2.03171515375922	0.0421825009152584	NA	active_vs_inactive	NA	3.11448729849679	0.866609461231979	0.270307030781571	0
hsa-miR-378d-2-3p:Novel	5.60420642030449	-0.0697467926614014	0.240851892070022	-0.289583744026076	0.772134704764724	NA	active_vs_inactive	NA	7.41392858193432	4.93585518194318	2.21703446393358	2.86353736358178
hsa-miR-378e	5.30642722133533	0.252060722914559	0.225154835517778	1.11949948725244	0.262927109517657	NA	active_vs_inactive	NA	4.5062616529366	6.28925086382733	2.39379289198306	2.07022151837847
hsa-miR-378e-5p:Novel	2.28181381933403	0.100720764192464	0.242494140684852	0.415353393315022	0.677883219847389	NA	active_vs_inactive	NA	3.00182130465761	2.0395319997623	1.06787856927253	1.32291373054267
hsa-miR-378f	7.3688703226943	-0.251625993474872	0.206075715455797	-1.22103661228752	0.222072157813148	NA	active_vs_inactive	NA	8.15926320987123	6.40110410138012	5.01649399577382	4.27437451715807
