ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	abstemious.x	all.x	nowine.x	abstemious.y	all.y	nowine.y
hsa-miR-6767-5p	5.02945386826517	0.58098276924279	0.53785082324611	1.0801931393102	0.280056182861169	0.999770134585052	nowine_vs_abstemious	FALSE	6.598	4.116	10.083	2.433	2.435	2.972
hsa-miR-6768-3p	0.101732561352032	0.39466190986603	1.99834041601757	0.197494834565044	0.843440323260117	0.999770134585052	nowine_vs_abstemious	FALSE	0.101	0.097	0.112	0	0	0
hsa-miR-6768-5p	29.9059802460532	0.29942282317605	0.437011616595945	0.685159871740646	0.49324304283202	0.999770134585052	nowine_vs_abstemious	FALSE	33.288	27.857	34.56	21.448	16.19	16.659
hsa-miR-6769a-3p	1.50664547159897	1.00054491838945	0.728850814334338	1.37277052959494	0.169823695158476	0.93469593169666	nowine_vs_abstemious	FALSE	1.739	1.395	1.731	0.333	0.293	0.162
hsa-miR-6769a-5p	4.41365846548026	0.252551852484871	0.647220568988783	0.390209867525468	0.696381365611604	0.999770134585052	nowine_vs_abstemious	FALSE	3.926	4.871	3.329	2.652	1.223	1.702
hsa-miR-6769b-3p	0.118290011832127	0.28738979685662	2.09025613460369	0.137490230072263	0.890643314682054	0.999770134585052	nowine_vs_abstemious	FALSE	0.104	0.112	0.138	0	0	0
hsa-miR-6769b-5p	5.32595731934583	0.561776824769815	0.555277640343246	1.01170438705681	0.311679417292631	0.999770134585052	nowine_vs_abstemious	FALSE	2.78	5.802	3.6	1.577	1.165	0.617
hsa-miR-6770-3p	9.05848108071251	0.195793968664647	0.530944831760918	0.368765184162885	0.712302757505376	0.999770134585052	nowine_vs_abstemious	FALSE	5.601	9.542	8.794	4.106	4.753	5.065
hsa-miR-6770-5p	2.64416555955733	-1.34532970883209	0.673642614865722	-1.99709709442931	0.0458146365213741	0.785948580044733	nowine_vs_abstemious	FALSE	4.333	2.568	1.842	1.245	0.658	0.549
hsa-miR-6771-3p	1.39068229244974	1.25466984465509	0.777080674687643	1.61459406407117	0.106398631750356	0.903245066226884	nowine_vs_abstemious	FALSE	0.354	1.431	1.588	0	0.229	0.118
hsa-miR-6771-5p	4.41916169511101	-0.530353001442967	0.448022906925694	-1.18376313631421	0.236506838510193	0.986012323141416	nowine_vs_abstemious	FALSE	5.605	4.311	3.723	4.183	2.621	2.113
hsa-miR-6772-3p	0.280547688725166	0.340908726900886	1.19091050376254	0.286258896721313	0.774679837060416	0.999770134585052	nowine_vs_abstemious	FALSE	0.204	0.306	0.159	0	0	0
hsa-miR-6772-5p	49.9930370123068	0.111620117236049	0.430596220715635	0.259222240851396	0.795463771736679	0.999770134585052	nowine_vs_abstemious	FALSE	229.58	32.404	36.41	21.448	19.776	23.089
hsa-miR-6773-3p	0.12756657866248	0.555118780110599	2.74330548693832	0.202353978714249	0.83964000376786	0.999770134585052	nowine_vs_abstemious	FALSE	0.132	0.092	0.282	0	0	0
hsa-miR-6773-5p	81.8152298677374	-0.314407792070973	0.403138156415152	-0.779900853014756	0.435449236340903	0.999770134585052	nowine_vs_abstemious	FALSE	82.029	79.793	84.774	80.926	51.575	49.347
hsa-miR-6774-3p	0.332018529657626	0.174915233361646	1.02399109930416	0.170817142336985	0.864367549545582	0.999770134585052	nowine_vs_abstemious	FALSE	0.205	0.329	0.4	0	0	0
hsa-miR-6774-5p	8.27350211518179	0.763795299950851	0.784849457352379	0.973174272843925	0.330466695024667	0.999770134585052	nowine_vs_abstemious	FALSE	6.191	8.241	8.49	2.246	1.234	1.532
hsa-miR-6775-3p	0.285888210091345	-0.0108917027631495	2.26182161585112	-0.00481545612917446	0.99615783675039	0.999770134585052	nowine_vs_abstemious	FALSE	0.929	0.264	0.052	0	0	0
hsa-miR-6775-5p	1.78937722831856	0.118769215857209	0.513681895221353	0.231211605785775	0.81715041415206	0.999770134585052	nowine_vs_abstemious	FALSE	2.313	1.749	1.508	0.666	1.072	0.612
hsa-miR-6776-3p	0.0946814743118563	0.271332267761747	2.29469471241913	0.11824329671972	0.905874884744637	0.999770134585052	nowine_vs_abstemious	FALSE	0.044	0.104	0.096	0	0	0
hsa-miR-6776-5p	1.27166394918787	0.659549053416758	0.664810629502653	0.99208560174522	0.321155769553708	0.999770134585052	nowine_vs_abstemious	FALSE	3.53	0.986	1.312	0	0.277	0.496
hsa-miR-6777-3p	0.0580570093075225	-0.0095846052659874	3.18918186388751	-0.00300534923220217	0.997602081857521	0.999891109370072	nowine_vs_abstemious	FALSE	0.097	0.058	0.032	0	0	0
hsa-miR-6777-5p	319.272278975337	-0.762602854983267	0.427260971014548	-1.7848643024249	0.0742833301623266	0.883034235441526	nowine_vs_abstemious	FALSE	541.311	295.795	292.467	221.591	187.599	175.597
hsa-miR-6778-3p	5.14879450419538	0.464267983167368	0.612516631051358	0.757967963042036	0.448470161982966	0.999770134585052	nowine_vs_abstemious	FALSE	5.911	4.875	5.465	1.332	1.6	2.054
hsa-miR-6778-5p	16.9856881759305	-0.146584326714595	0.370126729138172	-0.396038208469602	0.692076841520821	0.999770134585052	nowine_vs_abstemious	FALSE	19.204	16.809	15.722	16.986	11.627	9.198
hsa-miR-6779-3p	1.81682344318397	1.34387929847196	0.815030160603966	1.64887063501563	0.0991741402200758	0.893334463131481	nowine_vs_abstemious	FALSE	0.926	1.781	2.252	0	0	0
