ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	18_37.x	37_53.x	53_81.x	18_37.y	37_53.y	53_81.y
hsa-miR-216b-3p	0.474450228398024	-0.145269277038871	0.617338604621355	-0.23531539409879	0.813963947789407	NA	37_53_vs_18_37	NA	0.185	0.439	0.828	0	0	0
hsa-miR-216b-5p	1.07473858198836	-0.366513520513837	0.313948303816341	-1.16743271442628	0.24303566615197	NA	37_53_vs_18_37	NA	1.089	0.97	1.179	0.448	0.41	0.519
hsa-miR-217-3p	0.095447333645398	-0.463940546111835	1.49708987943735	-0.309894918457533	0.756640867201054	NA	37_53_vs_18_37	NA	0.103	0.081	0.104	0	0	0
hsa-miR-217-5p	2.37971542958312	-0.0766146038355287	0.374916061105854	-0.204351351632005	0.838078943716226	0.950850456955873	37_53_vs_18_37	FALSE	2.324	2.796	1.965	0.591	0.54	1.15
hsa-miR-218-1-3p	0.276320227186623	0.143256994332098	0.572288189993544	0.250323170802657	0.802337439042736	NA	37_53_vs_18_37	NA	0.383	0.254	0.186	0	0	0
hsa-miR-218-2-3p	0.713510785689204	0.36071908804041	0.391623803423396	0.92108570747531	0.357005681619386	NA	37_53_vs_18_37	NA	0.903	0.762	0.452	0	0	0
hsa-miR-218-5p	7.14526049350754	-0.290466052707235	0.29874843255993	-0.972276407338027	0.330913057630066	0.644236052396076	37_53_vs_18_37	FALSE	7.889	6.249	7.36	4.391	2.516	2.973
hsa-miR-219a-1-3p	1.7458977931519	-0.592590724289132	0.339649831894726	-1.74471078340709	0.0810352252944331	0.332137122644766	37_53_vs_18_37	FALSE	2.215	1.139	1.928	0.673	0.281	0.537
hsa-miR-219a-2-3p	1.84300032845701	0.273904947700425	0.307880658751836	0.889646490984038	0.373655734298371	0.673502184890066	37_53_vs_18_37	FALSE	2.184	1.81	1.511	0.887	0.873	0.751
hsa-miR-219a-5p	44.6162468211273	-0.785443868468486	0.252890116535507	-3.10587016696719	0.00189719995956912	0.059742539731121	37_53_vs_18_37	FALSE	50.772	34.063	49.967	19.743	15.467	23.411
hsa-miR-219b-3p	4.61585774142857	0.0623754009023805	0.234283679390342	0.266238779690907	0.79005531857044	0.930070999475476	37_53_vs_18_37	FALSE	4.258	4.79	4.804	2.821	3.037	3.134
hsa-miR-219b-5p	3.03743519749848	-0.528991491201662	0.334121238965651	-1.58323216099425	0.113368558669563	0.391940857701261	37_53_vs_18_37	FALSE	3.763	2.834	2.483	0.826	0.867	1.688
hsa-miR-22-3p	42.7239627643641	-0.958210123631545	0.348006376278247	-2.75342691671089	0.00589749358791129	0.105164844904542	37_53_vs_18_37	FALSE	59.581	30.932	37.892	7.683	3.247	6.368
hsa-miR-22-5p	2.64911817928487	-0.889510483293631	0.348089545316783	-2.55540706482328	0.0106063679859723	0.143707089937104	37_53_vs_18_37	FALSE	3.608	2.064	2.277	0.695	0.569	0.674
hsa-miR-221-3p	6.73990664912099	-0.446564264439856	0.311656478501117	-1.4328733565481	0.151894032669381	0.449544965375036	37_53_vs_18_37	FALSE	10.927	3.688	5.68	2.101	1.613	1.913
hsa-miR-221-5p	8.57803253061763	0.695928983533411	0.45270287280841	1.53727538598576	0.124225886372175	0.406323556607835	37_53_vs_18_37	FALSE	2.488	7.352	16.571	0.652	0.521	1.069
hsa-miR-222-3p	8.70822253312475	-0.903009823330408	0.321143515184198	-2.81185756720782	0.00492563094759719	0.0948968678305201	37_53_vs_18_37	FALSE	16.179	4.415	5.504	1.937	0.94	2.347
hsa-miR-222-5p	5.8211952969284	0.447193127256715	0.396008812817204	1.12925044287622	0.258792199959469	0.572970646553513	37_53_vs_18_37	FALSE	5.184	4.297	8.247	1.339	1.162	1.036
