ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	_40.x	40_60.x	60_.x	_40.y	40_60.y	60_.y
hsa-miR-502-5p	1.18772799551468	-0.507112893419437	0.434173988842749	-1.16799464373971	0.242808925446225	0.592496126295726	40_60_vs__40	FALSE	1.822	0.664	1.137	0	0	0
hsa-miR-503-3p	1.03767897683053	-0.382750772185928	0.316293310191033	-1.21011339744984	0.226235382968591	0.578507190989323	40_60_vs__40	FALSE	1.158	0.984	0.922	0.371	0.388	0.562
hsa-miR-503-5p	3.05761611349783	-0.0139523381995231	0.296509376870606	-0.0470553017472086	0.962469151885683	0.98500187450508	40_60_vs__40	FALSE	2.619	2.821	4.468	1.352	1.42	1.373
hsa-miR-504-3p	3.87713308949309	-0.122873439719629	0.307921030465126	-0.399042051574146	0.689862219470536	0.896592993120272	40_60_vs__40	FALSE	6.603	2.588	1.446	1.028	1.052	0.933
hsa-miR-504-5p	22.0955862909171	0.0643178032278008	0.176856800477228	0.363671643127357	0.716103220961936	0.902998292366837	40_60_vs__40	FALSE	24.861	21.612	17.737	21.728	15.043	13.262
hsa-miR-5047	3.40845467992974	0.105191764226491	0.350874044821293	0.299799217921824	0.764330311910033	0.920718418643307	40_60_vs__40	FALSE	1.856	2.328	8.958	1.11	0.522	0.639
hsa-miR-5047-5p:Novel	2.3311871946971	-0.570407463621125	0.339824692473393	-1.67853448043887	0.0932428050661848	0.414847633525481	40_60_vs__40	FALSE	3.807	1.352	1.661	0.679	0.312	0.415
hsa-miR-505-3p	1.71991168809143	0.384551445695702	0.509360156548298	0.754969623658106	0.450267208630791	0.764965191459825	40_60_vs__40	FALSE	1.865	2.224	0.275	0	0	0
hsa-miR-505-5p	7.013846318706	-0.259823378219112	0.348366080756674	-0.745834317895584	0.455767506397062	0.76632288091431	40_60_vs__40	FALSE	12.252	4.337	2.8	0.597	0.545	0.713
hsa-miR-506-3p	0.348046611844872	-0.796373947487898	0.511104525097725	-1.55814301846697	0.119199349004918	NA	40_60_vs__40	NA	0.525	0.243	0.238	0	0	0
hsa-miR-506-5p	0.925775393460909	-0.502576653685488	0.475044639962497	-1.05795668744976	0.290075189213991	0.640097286560877	40_60_vs__40	FALSE	0.869	0.71	1.534	0	0	0
hsa-miR-507	13.3081076675483	0.372241358838617	0.427399489801247	0.870944789877311	0.383784299279268	0.716969170568609	40_60_vs__40	FALSE	13.519	18.068	1.964	2.607	1.165	0.859
hsa-miR-507-5p:Novel	0.680523056401274	-0.0171131834449985	0.398338895604374	-0.0429613669009995	0.965732330149509	NA	40_60_vs__40	NA	0.653	0.749	0.576	0	0	0
hsa-miR-508-3p	0.71262070276811	-0.299743524897096	0.378292887307371	-0.792358341788087	0.428151762381777	0.750722161952585	40_60_vs__40	FALSE	1.006	0.52	0.576	0	0	0
