ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	c.drinker.x	c.no_drinker.x	c.drinker.y	c.no_drinker.y
hsa-miR-200c-5p	3.17698909449701	-0.451365112986151	0.291784635732755	-1.5469118579621	0.121884501280121	0.348454285671373	c.drinker_vs_c.no_drinker	FALSE	1.7	6.209	1.042	0.943
hsa-miR-202-3p	9.97549702522004	-0.567296172870538	0.218895602673398	-2.59162891324486	0.00955227458016626	0.0904507415998044	c.drinker_vs_c.no_drinker	FALSE	8.382	13.246	5.037	7.076
hsa-miR-202-5p	0.689735716890462	-0.400650788308024	0.357619949597358	-1.12032561035567	0.262575032344353	NA	c.drinker_vs_c.no_drinker	NA	0.553	0.97	0	0
hsa-miR-203a-3p	12.6215031280467	-0.381356333360927	0.293026815222591	-1.30143834471681	0.193108455729292	0.434088335357863	c.drinker_vs_c.no_drinker	FALSE	11.011	15.928	3.828	4.227
hsa-miR-203a-5p	10.964434817158	-0.429268293812507	0.181055550943136	-2.37092036988873	0.0177438534730154	0.122489827200816	c.drinker_vs_c.no_drinker	FALSE	7.902	17.25	6.764	6.167
hsa-miR-203b-3p	1.00894866483429	-0.437537512630119	0.307342794613477	-1.42361402413998	0.154558233920379	NA	c.drinker_vs_c.no_drinker	NA	0.847	1.342	0.266	0.571
hsa-miR-203b-5p	0.837936160593126	0.0948360668801588	0.456788730330485	0.207614725546196	0.835529805571571	NA	c.drinker_vs_c.no_drinker	NA	0.863	0.787	0	0
hsa-miR-204-3p	7.32829033656684	0.205845608069664	0.209135429976047	0.984269418592728	0.32498306169033	0.578657819509227	c.drinker_vs_c.no_drinker	FALSE	6.745	8.526	3.774	5.151
hsa-miR-204-5p	0.85583011279911	-0.28647090551176	0.388829011727604	-0.736752909045916	0.461272625079058	NA	c.drinker_vs_c.no_drinker	NA	0.509	1.569	0	0
hsa-miR-205-3p	1.23007121006014	0.292495933339798	0.291846377852946	1.00222567602734	0.316234609614521	NA	c.drinker_vs_c.no_drinker	NA	1.311	1.064	0.515	0.439
hsa-miR-205-5p	2.27519908419613	0.0130700601311813	0.306954734652544	0.0425797639055019	0.966036526922031	0.98995338387472	c.drinker_vs_c.no_drinker	FALSE	2.282	2.261	1.23	1.102
hsa-miR-2052	0.697185207627264	-0.270023020293526	0.515099956515949	-0.524214799239971	0.600129148690348	NA	c.drinker_vs_c.no_drinker	NA	0.619	0.858	0	0
hsa-miR-2052-3p:Novel	1.22100776167336	-1.05350414049758	0.417488798506117	-2.52343091423601	0.0116215893501507	NA	c.drinker_vs_c.no_drinker	NA	0.867	1.948	0	0
hsa-miR-2053	5.87094076954882	-0.241192778958237	0.217288780992274	-1.11001027230584	0.266994600006465	0.520962610348952	c.drinker_vs_c.no_drinker	FALSE	5.393	6.852	3.581	4.098
hsa-miR-2053-5p:Novel	0.169389320666776	0.0558625966710364	0.856798006397668	0.0651992607988268	0.948015349675542	NA	c.drinker_vs_c.no_drinker	NA	0.192	0.122	0	0
hsa-miR-2054	0.131126001042445	-0.544442529240795	1.78138310698617	-0.305629107576927	0.75988705563948	NA	c.drinker_vs_c.no_drinker	NA	0.098	0.199	0	0
hsa-miR-2054-3p:Novel	0.162631588366741	-0.43508772675013	0.771217884326198	-0.564156687224986	0.572647501803189	NA	c.drinker_vs_c.no_drinker	NA	0.12	0.251	0	0
hsa-miR-206	2.64559021694267	-0.137221502010245	0.218375621215074	-0.628373722518679	0.529759147008394	0.747813043930055	c.drinker_vs_c.no_drinker	FALSE	2.576	2.789	1.823	1.748
hsa-miR-206-5p:Novel	19.3666976495029	-0.720941709141014	0.241508370264438	-2.98516241218317	0.00283427793969153	0.0436905562789408	c.drinker_vs_c.no_drinker	TRUE	13.052	32.328	5.128	10.711
hsa-miR-208a-3p	0.239985453827386	0.0192963508960588	0.560792192318903	0.0344090933510815	0.972550932321425	NA	c.drinker_vs_c.no_drinker	NA	0.279	0.159	0	0
hsa-miR-208a-5p	1.80723648641286	0.0781764375075283	0.395554748531564	0.197637464340262	0.843328720615897	0.929241688040438	c.drinker_vs_c.no_drinker	FALSE	1.407	2.629	0	0.279
