ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	never.x	former.x	_16.x	16_.x	never.y	former.y	_16.y	16_.y
hsa-miR-5011-3p	1.18395039120596	0.210143449264318	0.509374335190687	0.412552095279102	0.679934805192128	1	_16_vs_former	FALSE	1.379	0.955	1.269	0.284	0	0	0.277	0
hsa-miR-5011-5p	0.319081327622604	0.119979317390069	0.72642224447075	0.165164707308051	0.868814343198988	1	_16_vs_former	FALSE	0.31	0.235	0.627	0.11	0	0	0	0
hsa-miR-502-3p	1.46151106022416	-0.0688348002654333	0.454076456384753	-0.1515929736007	0.879507975611211	1	_16_vs_former	FALSE	1.009	1.481	1.836	4.066	0.399	0.419	0.289	0.195
hsa-miR-502-5p	1.21322157978449	-0.0695788033909022	0.625634548536285	-0.111213173175437	0.911447305752198	1	_16_vs_former	FALSE	1.267	0.772	2.436	0.187	0	0	0	0
hsa-miR-503-3p	1.05964543020372	-0.47052315763807	0.467186561918591	-1.00714189146575	0.313866592560608	1	_16_vs_former	FALSE	1.168	0.906	0.705	1.449	0.371	0.407	0.139	0.942
hsa-miR-503-5p	3.11271791030602	-0.237004822699475	0.422752927505047	-0.560622546361066	0.575054878106691	1	_16_vs_former	FALSE	3.029	3.027	2.796	4.26	1.509	1.039	1.53	1.445
hsa-miR-504-3p	3.92208587398847	1.2070570029867	0.428832448979532	2.81475202228532	0.00488148852558388	0.437060453759076	_16_vs_former	FALSE	5.177	1.526	5.673	1.005	1.052	0.96	1.308	0.483
hsa-miR-504-5p	22.1637221023246	-0.282118490436322	0.253391497980915	-1.11336999340669	0.265549556763031	1	_16_vs_former	FALSE	22.481	22.194	20.16	18.962	17.707	16.077	16.202	14.388
hsa-miR-5047	3.46695181315453	-0.700033769530323	0.485901052730676	-1.44069202072368	0.149671710148424	1	_16_vs_former	FALSE	1.945	1.669	1.088	29.372	0.686	0.562	0.786	5.863
hsa-miR-5047-5p:Novel	2.37582184444161	-0.632840469847116	0.493872885316218	-1.28138330461677	0.200059065392103	1	_16_vs_former	FALSE	2.897	1.874	1.78	1.281	0.446	0.666	0.277	0
hsa-miR-505-3p	1.75779436984946	0.490084731056767	0.722658649504871	0.678169051726632	0.497664512743071	1	_16_vs_former	FALSE	2.614	0.529	0.818	2.323	0	0	0	0
hsa-miR-505-5p	7.16619779572426	0.0700768635287599	0.485215968177284	0.144424067064413	0.885165613264919	1	_16_vs_former	FALSE	8.832	5.393	5.034	5.028	0.333	0.777	0.735	0.195
hsa-miR-506-3p	0.355636090874708	0.473497090444411	0.741771980255302	0.638332402743824	0.52325732350204	1	_16_vs_former	FALSE	0.475	0.15	0.476	0.061	0	0	0	0
hsa-miR-506-5p	0.945456397034995	1.07649919444912	0.666402331427998	1.61538929814718	0.106226416331005	0.953320958837589	_16_vs_former	FALSE	1.018	0.505	1.553	1.094	0	0	0.289	0
