miRNA	SC	SC.p	SC.fdr	PC	PC.p	PC.fdr	DC
hsa-miR-6724-5p	-0.1238	0.0597	0.547835294117647	-0.0829	0.2085	0.787045161290323	0.1513
hsa-miR-6728-5p	-0.1602	0.0146	0.45552	-0.0648	0.3254	0.814852682926829	0.1365
hsa-miR-6731-5p	0.0581	0.3782	0.847233802816902	-0.0098	0.8818	0.944547945205479	0.1114
hsa-miR-6738-5p	0.0033	0.9606	0.988170491803279	0.0194	0.7687	0.888391111111111	0.1073
hsa-miR-6745-5p:Novel	0.023	0.7273	0.962962962962963	0.1283	0.051	0.471670588235294	0.154
hsa-miR-6756-5p	0.1053	0.1095	0.657	0.053	0.4218	0.814852682926829	0.1456
hsa-miR-6757-5p	0.0411	0.5332	0.880296585365854	-0.094	0.1535	0.7368	0.1206
hsa-miR-6760-5p	-0.1057	0.1082	0.657	0.0282	0.6694	0.859476543209877	0.1373
hsa-miR-6768-5p	-0.0116	0.8603	0.975678260869565	0.0437	0.5073	0.814852682926829	0.135
hsa-miR-6772-5p	-0.0063	0.9234	0.984998657718121	-0.0459	0.4869	0.814852682926829	0.0801
hsa-miR-6773-5p	-0.0134	0.8393	0.968351291512915	-0.0285	0.6662	0.859476543209877	0.124
hsa-miR-6777-5p	-0.0141	0.8309	0.968351291512915	-0.0969	0.1411	0.7368	0.1146
hsa-miR-6778-5p	-0.0377	0.5676	0.880296585365854	0.0235	0.7223	0.88000608365019	0.1467
hsa-miR-6787-5p	0.0682	0.3013	0.829708474576271	0.0876	0.1837	0.78416	0.1227
hsa-miR-6788-3p	-0.015	0.8199	0.968351291512915	-0.0198	0.7644	0.888391111111111	0.0969
hsa-miR-6790-5p	-0.0038	0.9543	0.988170491803279	-0.041	0.5347	0.814852682926829	0.0872
hsa-miR-6802-5p	-0.0667	0.3115	0.829708474576271	-0.0163	0.8047	0.908952517985611	0.1182
hsa-miR-6805-5p	-0.0038	0.9542	0.988170491803279	-0.0828	0.209	0.787045161290323	0.1051
hsa-miR-6838-5p	-0.0441	0.5038	0.880296585365854	-0.112	0.0887	0.588817021276596	0.1292
hsa-miR-6849-5p	-0.0547	0.4073	0.858632432432432	-0.0523	0.4277	0.814852682926829	0.0836
hsa-miR-6867-5p	-0.0168	0.7987	0.968351291512915	-0.061	0.3553	0.814852682926829	0.1116
hsa-miR-6869-5p	-0.1073	0.103	0.657	-0.161	0.0141	0.231536842105263	0.1896
hsa-miR-6871-5p	0.0599	0.3636	0.842168888888889	0.004	0.9518	0.981692903225806	0.1025
hsa-miR-6879-5p	-0.0102	0.8774	0.977087323943662	-0.0194	0.7688	0.888391111111111	0.1032
hsa-miR-6895-3p	-0.0223	0.7353	0.962962962962963	-0.0632	0.3377	0.814852682926829	0.1262
hsa-miR-7108-5p	0.1367	0.0375	0.509925	0.1973	0.0025	0.0737454545454545	0.2463
hsa-miR-711	-0.1549	0.0182	0.4732	-0.1045	0.1123	0.71505306122449	0.1622
hsa-miR-7113-5p	-0.1174	0.0743	0.56540487804878	-0.0447	0.4978	0.814852682926829	0.0795
hsa-miR-7161-3p	0.0139	0.8331	0.968351291512915	0.0568	0.3887	0.814852682926829	0.1118
hsa-miR-718	0.0114	0.8631	0.975678260869565	0.0998	0.1297	0.7368	0.1116
hsa-miR-7515-5p:Novel	0.0028	0.966	0.988170491803279	-0.0145	0.8262	0.917346619217082	0.1091
hsa-miR-760	-0.073	0.2678	0.813577142857143	-0.0033	0.9602	0.981692903225806	0.1144
hsa-miR-765-5p:Novel	0.0668	0.311	0.829708474576271	0.0816	0.2158	0.787045161290323	0.1447
hsa-miR-7704-3p:Novel	0.035	0.5958	0.8937	0.0295	0.6553	0.859476543209877	0.1097
hsa-miR-7845-3p:Novel	-0.0743	0.2594	0.813577142857143	-0.0319	0.6293	0.859476543209877	0.0951
hsa-miR-7851-5p:Novel	-0.0503	0.446	0.875169811320755	-0.0925	0.1601	0.746505882352941	0.1203
hsa-miR-8057-3p:Novel	-0.0993	0.1316	0.661623529411765	-0.0578	0.3811	0.814852682926829	0.11
hsa-miR-8072	0.0972	0.14	0.661623529411765	0.1657	0.0115	0.199333333333333	0.1919
hsa-miR-8072-3p:Novel	-0.0926	0.1597	0.711805714285714	0.0265	0.6875	0.875510204081633	0.1201
hsa-miR-8079-3p:Novel	-0.0424	0.521	0.880296585365854	-0.0856	0.1938	0.787045161290323	0.122
hsa-miR-8080	-0.024	0.7157	0.962962962962963	-0.0411	0.5338	0.814852682926829	0.096
hsa-miR-8083-3p:Novel	-0.0763	0.2471	0.813577142857143	0.1667	0.011	0.199333333333333	0.1874
hsa-miR-922	-0.0243	0.7124	0.962962962962963	-0.0043	0.9481	0.981692903225806	0.0932
hsa-miR-922-5p:Novel	-0.0128	0.846	0.968566423357664	-0.0432	0.5122	0.814852682926829	0.0838
hsa-miR-92a-3p	-0.0416	0.5286	0.880296585365854	0.0313	0.6354	0.859476543209877	0.1153
hsa-miR-92b-5p	-0.0158	0.811	0.968351291512915	0.0105	0.8733	0.944547945205479	0.1127
hsa-miR-935	0.107	0.104	0.657	0.2106	0.0013	0.0507	0.231
hsa-miR-935-5p:Novel	0.025	0.7053	0.962962962962963	0.0541	0.4123	0.814852682926829	0.142
hsa-miR-940	0.0515	0.4346	0.875169811320755	-0.0293	0.6572	0.859476543209877	0.102
hsa-miR-943-5p:Novel	0.0671	0.3086	0.829708474576271	0.0852	0.1959	0.787045161290323	0.1402
hsa-miR-944-5p:Novel	0.0133	0.8405	0.968351291512915	0.0039	0.9533	0.981692903225806	0.1019
hsa-miR-9901	-0.003	0.964	0.988170491803279	0.0283	0.6684	0.859476543209877	0.1379
hsa-miR-9901-3p:Novel	-0.0983	0.1354	0.661623529411765	-0.0074	0.9106	0.960875675675676	0.1078
