ID	Average_NO	Average_YES	Median_NO	Median_YES	log2FoldChange	pvalue	padj	comparison	treshold
hsa-miR-4732-5p	14.7355814898349	17.621972088377	9.98499907383179	11.9646759576366	-0.420449962211508	0.24110751387797	0.499169347624037	NO_vs_YES	FALSE
hsa-miR-4733-3p	0.574593032887156	0.515671504882683	0	0	-0.773250920855202	0.345324564635612	NA	NO_vs_YES	NA
hsa-miR-4733-5p	1.44456205662068	1.62809323159754	0.297870586376155	0	-0.731976848794511	0.397321267775482	NA	NO_vs_YES	NA
hsa-miR-4734	14.5209350314912	32.3326061045581	10.933877290008	9.37199009670292	-0.286520594948331	0.476858149017912	0.711529147045991	NO_vs_YES	FALSE
hsa-miR-4734-5p:Novel	1.94082047943923	2.41136712181212	1.58192750300163	1.62924414989447	-0.520770080892196	0.199855969394927	NA	NO_vs_YES	NA
hsa-miR-4735-3p	0.149662080993951	0.164758466956436	0	0	-0.522109788234376	0.719663835076675	NA	NO_vs_YES	NA
hsa-miR-4735-5p	0.0566601678168805	0.14531953711746	0	0	-0.663840441355263	0.747946862979955	NA	NO_vs_YES	NA
hsa-miR-4736	0.209219501815507	0.265751886765417	0	0	-1.08999089207225	0.355000157563223	NA	NO_vs_YES	NA
hsa-miR-4736-3p:Novel	8.32323539892219	8.45846071505784	2.72412781501757	3.12222609910545	-0.644973066501262	0.181783754471029	NA	NO_vs_YES	NA
hsa-miR-4737	19.3882927056664	12.4446891735484	5.81655740927319	6.56238211198209	-0.972392571803158	0.0289883201838648	0.188534723638571	NO_vs_YES	FALSE
hsa-miR-4737-3p:Novel	9.08367961606467	10.0223014717024	4.73641748536896	4.41245928804081	-0.00833698679943522	0.984043904350932	NA	NO_vs_YES	NA
hsa-miR-4738-3p	21.0576473732214	18.9667269000008	14.8588112580688	12.7171641289781	0.336259137665404	0.369758429182654	0.626689733797127	NO_vs_YES	FALSE
hsa-miR-4738-5p	3.49582684925086	2.69968091664251	0	0	2.069357079441	NA	NA	NO_vs_YES	NA
hsa-miR-4739	88.0865133119786	39.2153430131104	9.19326259198487	14.4480892222269	-0.63927898402739	0.1912774230774	0.445692435881008	NO_vs_YES	FALSE
hsa-miR-4739-3p:Novel	41.8937093203078	89.5544960223461	18.3934193465322	29.9037301647443	-0.343558340763911	0.503247065435728	0.731403334602098	NO_vs_YES	FALSE
hsa-miR-4740-3p	1.76905599966009	1.85109432121723	0.879442696945472	1.23423226566416	-0.956469643872888	0.0481208330529978	NA	NO_vs_YES	NA
hsa-miR-4740-5p	4.55723931775374	5.42905987058013	2.60912268756382	3.98769793387658	-0.459411270962447	0.205220684793927	NA	NO_vs_YES	NA
hsa-miR-4741	19.9141631170128	20.0866697400001	10.0142149208988	12.5923224862187	-0.379932810453781	0.270995271092631	0.530776944760738	NO_vs_YES	FALSE
hsa-miR-4741-5p:Novel	11.2689620967785	7.56973820370816	4.73859461897335	4.24429556582671	-0.572396197040731	0.169091398332638	NA	NO_vs_YES	NA
hsa-miR-4742-3p	0.19614641269426	0.312601075639615	0	0	-0.479326291270336	0.74335210002188	NA	NO_vs_YES	NA
