ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	a.drinker.x	a.no_drinker.x	a.drinker.y	a.no_drinker.y
hsa-miR-216a-3p	7.14210392085803	0.188699358940041	0.463975477202878	0.40670114739174	0.684227497681588	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	7.044	8.238	2.803	4.766
hsa-miR-216a-5p	0.501629417303455	1.05349344307621	0.704226781829679	1.49595765207777	0.134664691054904	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	0.511	0.395	0	0
hsa-miR-216b-3p	0.474450228398024	0.656511513149598	0.95559840073243	0.68701612795334	0.492072565232695	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	0.51	0.075	0	0
hsa-miR-216b-5p	1.07473858198836	0.538366466571166	0.483736254208885	1.11293388057429	0.265736827625568	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	1.108	0.698	0.436	0.333
hsa-miR-217-3p	0.095447333645398	-0.292316277284999	2.36864087997599	-0.123410973675318	0.901781667764775	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	0.093	0.125	0	0
hsa-miR-217-5p	2.37971542958312	0.811041635100526	0.562892343115388	1.44084680671215	0.149627966613009	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	2.446	1.635	0.638	1.14
hsa-miR-218-1-3p	0.276320227186623	-0.0545444876297852	0.890383997450688	-0.0612595102629369	0.951152536338687	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	0.207	1.054	0	0
hsa-miR-218-2-3p	0.713510785689204	-0.0180002989672168	0.60234463549726	-0.0298837208907104	0.976159788898965	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	0.727	0.562	0	0
hsa-miR-218-5p	7.14526049350754	-0.886371227852546	0.454644951740661	-1.94958994806601	0.0512250124358705	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	6.873	10.193	3.06	4.55
hsa-miR-219a-1-3p	1.7458977931519	0.234250181034704	0.511887834084191	0.457620137532271	0.64722537332059	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	1.715	2.092	0.471	0.999
hsa-miR-219a-2-3p	1.84300032845701	-0.335853021975762	0.462279823972365	-0.726514557978716	0.467523386200059	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	1.676	3.717	0.828	1.327
hsa-miR-219a-5p	44.6162468211273	0.0893015447085721	0.386597676082932	0.230993485562017	0.817319862957446	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	42.606	67.156	18.155	23.648
hsa-miR-219b-3p	4.61585774142857	-0.256319422740696	0.355162983430348	-0.721695206704906	0.470481889726826	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	4.529	5.592	3.021	3.155
hsa-miR-219b-5p	3.03743519749848	0.115667445145177	0.509711864904193	0.22692711924004	0.820480413989266	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	2.987	3.602	1.004	1.303
hsa-miR-22-3p	42.7239627643641	0.483874057304859	0.530512406724486	0.912088107971718	0.361722337970208	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	28.134	206.286	4.734	8.365
